2025-07-11 22:16:27.458 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:32:10.511 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:32:10.512 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:32:12.469 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 1.992 seconds (process running for 6811.979)
2025-07-11 23:32:17.379 [http-nio-8080-exec-1] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:18.036 [http-nio-8080-exec-2] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:18.541 [http-nio-8080-exec-3] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:18.634 [http-nio-8080-exec-4] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:18.775 [http-nio-8080-exec-5] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:18.943 [http-nio-8080-exec-6] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:19.160 [http-nio-8080-exec-7] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:19.281 [http-nio-8080-exec-8] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:32:19.426 [http-nio-8080-exec-9] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:33:19.175 [http-nio-8080-exec-2] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjUxNTkyLCJleHAiOjE3NTIyNTMwMzJ9.e72uz28WteFwWyIAu5KAmhguayFDmQavg2TTUdse3BE
2025-07-11 23:33:19.179 [http-nio-8080-exec-2] INFO  c.e.g.controller.AuthController - Email l?y t? token: tienanh2003k@gmail.com
